mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,summary,thumbnail,nexus_requirements
30982,红熊猫义卖会,Red Panda Bazaar,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/30982,Red Panda Bazaar,Lilaoliu WhaleK233,未知分类,"Welcome to Red Panda Bazaar!<br />This is a new expansion mod for Stardew Valley which adds 3 new NPCs, some locations, a few shops and a new festival!<br />The entrance to the bazaar is on a new sign next to the bus.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/30982.png,
32260,被遗忘的森林秘密森林扩展包,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/32260,The Forgotten Woods - A Secret Woods Expansion,Azathii,未知分类,"A Secret Woods expansion adding new maps to the game for foragers and adventurers alike! Plant trees for wood, create a tapping farm, gather different foragables, hunt forgotten treasure and discover hidden secrets!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/32260.png,
18465,星露德鲁伊,Stardew Druid,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/18465,Stardew Druid,Neosinf,未知分类,"Adds unique, myth themed mechanics and content to the core game experience. New quests, locations, companions, lore and collectibles. Learn to cast wildgrowth, lightning, meteors, gravity wells, shapeshift into a dragon and more!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/18465.png,
34093,东方Mystia的居酒屋,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/34093,Touhou Mystia's Izakaya,Tozniz,未知分类,Adds some recipes for the cuisine and beverages of Touhou Mystia's Izakaya. English and Chinese supported.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/34093.png,
32872,下坡计划  自定义 NPC 的扩展地图,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/32872,Downhill Project - Expanded Map for Custom NPCs,Kiyugamods,未知分类,"An old and forgotten neighborhood. Once busy with mining, it’s now home to just three residents: a priest, a miner, and a old lady. With few visitors and a nostalgic feel, the neighborhood holds stories from the past...",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/32872.png,
11689,NUVM  村庄移动版新更新,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/11689,NUVM - New Update Village Mobile,DuduBertol,未知分类,"[Mobile Version] New Update Village is a fan-created village added to Stardew Valley. Its additions to the game include new modifications, new locations,<br />new consumables and usables as well as new extra upgrades. <br />- This version has 100% MOBILE COMPATIBILITY. Works on 1.4 Stardew Valley! (1.5 too)<br />- PC VERSION in DESCRIPTION.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/11689.png,
11366,NUV 新更新村庄,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/11366,NUV - New Update Village,DuduBertol,未知分类,"New Update Village is a fan-made village added to Stardew Valley. Its additions to the game include new modifications, new locations, <br />new consumables and usables, as well as new extra upgrades. Hope you Like it! &lt;3<br />- This version has 100% MOBILE COMPATIBILITY. Works on 1.4 Stardew Valley! (1.5 too)<br />- PC VERSION in DESCRIPTION.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/11366.png,
26839,刘梓晨坐骑,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/26839,Liu Zichen's kindness will be ridden,boxi,未知分类,Changed the pony texture to Liu Zichen,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/26839.png,
24357,交税,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/24357,Serfdom - Realistic Taxes,Arleau,未知分类,Provides realistic income and property taxation mechanics.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/24357.jpeg,
35087,新npc道尔顿,,,#新NPC,https://www.nexusmods.com/stardewvalley/mods/35087,Daulton and Maple - A Custom NPC Mod,bigsquishy0,未知分类,"Adds Daulton, a marriageable dockhand, and his bunny Maple to Pelican Town. Features 8 heart events, 2500+ dialogue lines, seasonal outfits, custom marriage room &amp; patio, and full SVE compatibility. Complete romance storyline with fun character development.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/35087.png,
34255,玛尼x马龙,,,#NPC,https://www.nexusmods.com/stardewvalley/mods/34255,Marnie x Marlon,Jierishi,未知分类,A relationship mod expanding Marnie's storyline around Marlon.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/34255.png,
8569,偷东西,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/8569,Shoplifter,TheMightyAmondee,未知分类,Tired of paying high prices? Or are you just tired of Marnie staring at the microwave? This mod adds the ability to shoplift certain stores... just don't get caught!,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/8569.png,
24635,捡蘑菇,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/24635,More Mushrooms as Forage - Chinese1.6,Tea,未知分类,是More Mushrooms as Forage（更多蘑菇作为觅食）模组的中文译本。翻译了好久我要晕了——一定要看简介！,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/24635.png,
36145,养萨摩耶,,,#动物,https://www.nexusmods.com/stardewvalley/mods/36145,Samoyed dog,Ishr,未知分类,来养一只可爱耶耶吧。Let's get a cute Samoyed.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/36145.png,
9052,催眠,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/9052,Hypno Valley,Kryspur,未知分类,Adds hypnotic items and tools into the game. Also adds a trance mechanic and a new character to sell the player the new items and abilities.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/9052.png,
32045,地球农场,,,#地图,https://www.nexusmods.com/stardewvalley/mods/32045,Earth Farm,xc333222,未知分类,Added a new farm type: Earth Farm,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/32045.png,
23412,鹈鹕镇党群活动中心,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/23412,Ferngill Party and Mass Service Center,Itivuttakam,未知分类,对星露谷方方面面的文字进行了“如在身边”的修改和编辑，想做一个很棒的中式核心。名字只是整活，传达一种感觉。,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/23412.png,
10378,开潘姆公交车,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/10378,Calico Desert Bus,blueberry,未知分类,"There's 360 miles to the Calico Desert, we've got a full tank of gas, half a pack of parsnip seeds, it's hot out, and Pam's driving.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/10378.png,
32830,御剑飞行,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/32830,Flying Weapon Mount Mod,Darkmushu1,未知分类,Ride your current weapon as a mount at the cost of stamina drain. Allows you to switch weapon skin to existing mod assets to ride as your flying mount. Can now be learned as an Ability with level up if you have Unified Experience System Install,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/32830.jpeg,
